SeedlingID,Date,Image_ID,Leaves_H,Leaves_Width,Leaves_Area,Root_length,Parent,Subsp,Genotype,Treat,Treatment,Root2shoot
89,3/10/2020,EXP_0225,4.709,2.377,2.79832325,31.574,IDT3_e,tridentata2x,G1,T1,T2,0.826400914188946
434,3/10/2020,EXP_0227,7.505,3.186,5.9777325,33.092,UTT2_b,tridentata2x,G2,T1,T2,0.644372319076048
160,3/10/2020,EXP_0228,2.028,2.676,1.356732,21.913,IDT3_h,tridentata2x,G1,T1,T2,1.03363388807038
462,3/10/2020,EXP_0231,4.432,2.51,2.78108,28.038,UTT2_d,tridentata2x,G2,T1,T2,0.801147279687584
162,3/10/2020,EXP_0241,6.657,1.547,2.57459475,34.978,IDT3_i,tridentata2x,G1,T1,T2,0.720516416464407
93,3/10/2020,EXP_0242,3.393,3.93,3.3336225,30.179,IDT3_e,tridentata2x,G1,T1,T2,0.949120985414164
447,3/10/2020,EXP_0245,7.343,2.777,5.09787775,32.865,UTT2_c,tridentata2x,G2,T1,T2,0.650860108408572
55,3/10/2020,EXP_0248,4.881,2.722,3.3215205,38.058,IDT3_c,tridentata2x,G1,T1,T2,0.891937154124586
440,3/10/2020,EXP_0255,7.649,3.266,6.2454085,31.316,UTT2_b,tridentata2x,G2,T1,T2,0.612161623470383
166,3/10/2020,EXP_0257,4.954,2.235,2.7680475,37.72,IDT3_i,tridentata2x,G1,T1,T2,0.881615681815473
533,3/10/2020,EXP_0258,5.284,2.389,3.155869,32.579,UTT2_g,tridentata2x,G2,T1,T2,0.789974940730827
80,3/10/2020,EXP_0259,4.797,2.206,2.6455455,37.078,IDT3_d,tridentata2x,G1,T1,T2,0.888146581645468
583,3/10/2020,EXP_0260,4.744,2.971,3.523606,31.516,UTT2_j,tridentata2x,G2,T1,T2,0.822386411451033
121,3/10/2020,EXP_0261,4.85,2.783,3.3743875,33.874,IDT3_g,tridentata2x,G1,T1,T2,0.844124744589652
193,3/10/2020,EXP_0263,3.69,2.325,2.1448125,35.232,IDT3_j,tridentata2x,G1,T1,T2,0.979910931132597
54,3/10/2020,EXP_0265,5.599,2.566,3.5917585,32.481,IDT3_c,tridentata2x,G1,T1,T2,0.763518924003848
566,3/10/2020,EXP_0266,7.341,2.56,4.69824,32.453,UTT2_i,tridentata2x,G2,T1,T2,0.645499625700489
112,3/10/2020,EXP_0268,5.307,2.42,3.210735,30.504,IDT3_f,tridentata2x,G1,T1,T2,0.759507704636229
33,3/10/2020,EXP_0271,5.737,3.125,4.48203125,35.02,IDT3_b,tridentata2x,G1,T1,T2,0.785631291864986
27,3/10/2020,EXP_0273,6.061,2.978,4.5124145,36.921,IDT3_b,tridentata2x,G1,T1,T2,0.78472917130704
103,3/10/2020,EXP_0274,3.594,1.622,1.457367,35.097,IDT3_f,tridentata2x,G1,T1,T2,0.989691922920001
195,3/10/2020,EXP_0277,3.32,2.027,1.68241,34.595,IDT3_j,tridentata2x,G1,T1,T2,1.01787525123548
