"Name","P1","P2","Call","OriginalCall","Original_Is"
"EXP_0225",1,0,"P1","P1","Correct"
"EXP_0228",0.14,0.86,"P2","P1","Wrong"
"EXP_0232",0.97,0.03,"P1","P1","Correct"
"EXP_0233",0.56,0.44,"INT","P1","Wrong"
"EXP_0239",1,0,"P1","P1","Correct"
"EXP_0247",0,1,"P2","P1","Wrong"
"EXP_0263",0.94,0.06,"P1","P1","Correct"
"EXP_0267",0,1,"P2","P1","Wrong"
"EXP_0268",0.17,0.83,"P2","P1","Wrong"
"EXP_0271",1,0,"P1","P1","Correct"
"EXP_0273",1,0,"P1","P1","Correct"
"EXP_0277",0.05,0.95,"P2","P1","Wrong"
"EXP_0281",0.88,0.12,"P1","P1","Correct"
"EXP_0284",1,0,"P1","P1","Correct"
"EXP_0288",0.04,0.96,"P2","P1","Wrong"
"EXP_0292",0.99,0.01,"P1","P1","Correct"
"EXP_0294",0.79,0.21,"P1","P1","Correct"
"EXP_0296",1,0,"P1","P1","Correct"
"EXP_0298",0,1,"P2","P1","Wrong"
"EXP_0301",0,1,"P2","P1","Wrong"
"EXP_0306",1,0,"P1","P1","Correct"
"EXP_0315",0,1,"P2","P1","Wrong"
"EXP_0317",0,1,"P2","P1","Wrong"
"EXP_0318",1,0,"P1","P1","Correct"
"EXP_0320",0.45,0.55,"INT","P1","Wrong"
"EXP_0326",0,1,"P2","P1","Wrong"
"EXP_0328",0,1,"P2","P1","Wrong"
"EXP_0329",0.02,0.98,"P2","P1","Wrong"
"EXP_0330",0.01,0.99,"P2","P1","Wrong"
"EXP_0333",1,0,"P1","P1","Correct"
"EXP_0335",0.09,0.91,"P2","P1","Wrong"
"EXP_0340",0.06,0.94,"P2","P1","Wrong"
"EXP_0342",0,1,"P2","P1","Wrong"
"EXP_0343",0.99,0.01,"P1","P1","Correct"
"EXP_0353",0,1,"P2","P1","Wrong"
"EXP_0354",1,0,"P1","P1","Correct"
"EXP_0356",1,0,"P1","P1","Correct"
"EXP_0360",1,0,"P1","P1","Correct"
"EXP_0365",1,0,"P1","P1","Correct"
"EXP_0376",1,0,"P1","P1","Correct"
"EXP_0377",1,0,"P1","P1","Correct"
"EXP_0380",1,0,"P1","P1","Correct"
"EXP_0381",0,1,"P2","P1","Wrong"
"EXP_0384",1,0,"P1","P1","Correct"
"EXP_0387",1,0,"P1","P1","Correct"
"EXP_0388",0.72,0.28,"INT","P1","Wrong"
"EXP_0399",0.03,0.97,"P2","P1","Wrong"
"EXP_0405",1,0,"P1","P1","Correct"
"EXP_0417",1,0,"P1","P1","Correct"
"EXP_0425",1,0,"P1","P1","Correct"
"EXP_0432",1,0,"P1","P1","Correct"
"EXP_0433",1,0,"P1","P1","Correct"
"EXP_0454",1,0,"P1","P1","Correct"
"EXP_0227",0,1,"P2","P2","Correct"
"EXP_0229",0.63,0.37,"INT","P2","Wrong"
"EXP_0240",0.41,0.59,"INT","P2","Wrong"
"EXP_0244",0,1,"P2","P2","Correct"
"EXP_0245",0,1,"P2","P2","Correct"
"EXP_0249",1,0,"P1","P2","Wrong"
"EXP_0250",0.19,0.81,"P2","P2","Correct"
"EXP_0253",0.21,0.79,"P2","P2","Correct"
"EXP_0255",0.19,0.81,"P2","P2","Correct"
"EXP_0258",0,1,"P2","P2","Correct"
"EXP_0260",0.01,0.99,"P2","P2","Correct"
"EXP_0266",0,1,"P2","P2","Correct"
"EXP_0269",0.15,0.85,"P2","P2","Correct"
"EXP_0270",0,1,"P2","P2","Correct"
"EXP_0275",1,0,"P1","P2","Wrong"
"EXP_0279",0.05,0.95,"P2","P2","Correct"
"EXP_0283",0,1,"P2","P2","Correct"
"EXP_0285",0,1,"P2","P2","Correct"
"EXP_0286",0,1,"P2","P2","Correct"
"EXP_0293",0.55,0.45,"INT","P2","Wrong"
"EXP_0297",0,1,"P2","P2","Correct"
"EXP_0299",0.98,0.02,"P1","P2","Wrong"
"EXP_0303",0,1,"P2","P2","Correct"
"EXP_0307",0,1,"P2","P2","Correct"
"EXP_0313",0,1,"P2","P2","Correct"
"EXP_0314",0.07,0.93,"P2","P2","Correct"
"EXP_0325",0.95,0.05,"P1","P2","Wrong"
"EXP_0334",0,1,"P2","P2","Correct"
"EXP_0337",0.01,0.99,"P2","P2","Correct"
"EXP_0338",0,1,"P2","P2","Correct"
"EXP_0339",1,0,"P1","P2","Wrong"
"EXP_0341",0.01,0.99,"P2","P2","Correct"
"EXP_0346",0.18,0.82,"P2","P2","Correct"
"EXP_0347",0,1,"P2","P2","Correct"
"EXP_0349",0,1,"P2","P2","Correct"
"EXP_0350",0,1,"P2","P2","Correct"
"EXP_0355",0,1,"P2","P2","Correct"
"EXP_0364",1,0,"P1","P2","Wrong"
"EXP_0372",0,1,"P2","P2","Correct"
"EXP_0383",0,1,"P2","P2","Correct"
"EXP_0389",0,1,"P2","P2","Correct"
"EXP_0397",0,1,"P2","P2","Correct"
"EXP_0401",0,1,"P2","P2","Correct"
"EXP_0406",0,1,"P2","P2","Correct"
"EXP_0409",0,1,"P2","P2","Correct"
"EXP_0427",0.78,0.22,"P1","P2","Wrong"
"EXP_0428",0,1,"P2","P2","Correct"
"EXP_0430",0.73,0.27,"INT","P2","Wrong"
"EXP_0438",1,0,"P1","P2","Wrong"
"EXP_0441",1,0,"P1","P2","Wrong"
"EXP_0446",0.01,0.99,"P2","P2","Correct"
"EXP_0447",0,1,"P2","P2","Correct"
"EXP_0452",0,1,"P2","P2","Correct"
"EXP_0453",0,1,"P2","P2","Correct"
