"Name","P1","P2","Call","OriginalCall","Original_Is"
"EXP_0225",1,0,"P1","P1","Correct"
"EXP_0228",0.94,0.06,"P1","P1","Correct"
"EXP_0232",0.88,0.12,"P1","P1","Correct"
"EXP_0233",1,0,"P1","P1","Correct"
"EXP_0239",0.98,0.02,"P1","P1","Correct"
"EXP_0247",0,1,"P2","P1","Wrong"
"EXP_0263",0.34,0.66,"INT","P1","Wrong"
"EXP_0267",0,1,"P2","P1","Wrong"
"EXP_0268",0.41,0.59,"INT","P1","Wrong"
"EXP_0271",1,0,"P1","P1","Correct"
"EXP_0273",0.98,0.02,"P1","P1","Correct"
"EXP_0277",0.65,0.35,"INT","P1","Wrong"
"EXP_0281",1,0,"P1","P1","Correct"
"EXP_0284",0.87,0.13,"P1","P1","Correct"
"EXP_0288",0.99,0.01,"P1","P1","Correct"
"EXP_0292",0.98,0.02,"P1","P1","Correct"
"EXP_0294",0.99,0.01,"P1","P1","Correct"
"EXP_0296",0.99,0.01,"P1","P1","Correct"
"EXP_0298",0.87,0.13,"P1","P1","Correct"
"EXP_0301",0,1,"P2","P1","Wrong"
"EXP_0306",1,0,"P1","P1","Correct"
"EXP_0315",0,1,"P2","P1","Wrong"
"EXP_0317",0.17,0.83,"P2","P1","Wrong"
"EXP_0318",1,0,"P1","P1","Correct"
"EXP_0320",0.18,0.82,"P2","P1","Wrong"
"EXP_0326",0.79,0.21,"P1","P1","Correct"
"EXP_0328",0,1,"P2","P1","Wrong"
"EXP_0329",0.44,0.56,"INT","P1","Wrong"
"EXP_0330",0.16,0.84,"P2","P1","Wrong"
"EXP_0333",1,0,"P1","P1","Correct"
"EXP_0335",0.05,0.95,"P2","P1","Wrong"
"EXP_0340",1,0,"P1","P1","Correct"
"EXP_0342",0.38,0.62,"INT","P1","Wrong"
"EXP_0343",0.05,0.95,"P2","P1","Wrong"
"EXP_0353",0,1,"P2","P1","Wrong"
"EXP_0354",1,0,"P1","P1","Correct"
"EXP_0356",0.98,0.02,"P1","P1","Correct"
"EXP_0360",1,0,"P1","P1","Correct"
"EXP_0365",1,0,"P1","P1","Correct"
"EXP_0376",1,0,"P1","P1","Correct"
"EXP_0377",1,0,"P1","P1","Correct"
"EXP_0380",1,0,"P1","P1","Correct"
"EXP_0381",0.71,0.29,"INT","P1","Wrong"
"EXP_0384",1,0,"P1","P1","Correct"
"EXP_0387",0.15,0.85,"P2","P1","Wrong"
"EXP_0388",1,0,"P1","P1","Correct"
"EXP_0399",0.78,0.22,"P1","P1","Correct"
"EXP_0405",0.91,0.09,"P1","P1","Correct"
"EXP_0417",1,0,"P1","P1","Correct"
"EXP_0425",1,0,"P1","P1","Correct"
"EXP_0432",1,0,"P1","P1","Correct"
"EXP_0433",1,0,"P1","P1","Correct"
"EXP_0454",1,0,"P1","P1","Correct"
"EXP_0227",0,1,"P2","P2","Correct"
"EXP_0229",0.73,0.27,"INT","P2","Wrong"
"EXP_0240",1,0,"P1","P2","Wrong"
"EXP_0244",1,0,"P1","P2","Wrong"
"EXP_0245",0,1,"P2","P2","Correct"
"EXP_0249",1,0,"P1","P2","Wrong"
"EXP_0250",1,0,"P1","P2","Wrong"
"EXP_0253",0.91,0.09,"P1","P2","Wrong"
"EXP_0255",0.82,0.18,"P1","P2","Wrong"
"EXP_0258",0,1,"P2","P2","Correct"
"EXP_0260",0.08,0.92,"P2","P2","Correct"
"EXP_0266",0,1,"P2","P2","Correct"
"EXP_0269",0.18,0.82,"P2","P2","Correct"
"EXP_0270",0.09,0.91,"P2","P2","Correct"
"EXP_0275",1,0,"P1","P2","Wrong"
"EXP_0279",1,0,"P1","P2","Wrong"
"EXP_0283",0,1,"P2","P2","Correct"
"EXP_0285",0,1,"P2","P2","Correct"
"EXP_0286",0,1,"P2","P2","Correct"
"EXP_0293",0.23,0.77,"P2","P2","Correct"
"EXP_0297",0.01,0.99,"P2","P2","Correct"
"EXP_0299",0.95,0.05,"P1","P2","Wrong"
"EXP_0303",0.07,0.93,"P2","P2","Correct"
"EXP_0307",0.09,0.91,"P2","P2","Correct"
"EXP_0313",0.2,0.8,"P2","P2","Correct"
"EXP_0314",0.91,0.09,"P1","P2","Wrong"
"EXP_0325",0.89,0.11,"P1","P2","Wrong"
